"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
135,7 Sep 2021 11:27:38.444,7 Sep 2021 11:33:37.468,359.024
136,7 Sep 2021 13:00:48.445,7 Sep 2021 13:07:15.175,386.729
137,7 Sep 2021 22:07:57.470,7 Sep 2021 22:13:40.913,343.443
138,7 Sep 2021 23:40:41.625,7 Sep 2021 23:47:21.969,400.344
139,8 Sep 2021 11:02:32.022,8 Sep 2021 11:06:40.911,248.889
140,8 Sep 2021 12:34:44.894,8 Sep 2021 12:41:48.800,423.906
141,8 Sep 2021 21:43:10.386,8 Sep 2021 21:47:10.938,240.551
142,8 Sep 2021 23:14:31.677,8 Sep 2021 23:21:42.361,430.684
143,9 Sep 2021 12:08:50.383,9 Sep 2021 12:16:05.788,435.405
144,9 Sep 2021 13:44:10.513,9 Sep 2021 13:46:19.807,129.294
145,9 Sep 2021 22:48:39.327,9 Sep 2021 22:55:52.841,433.515
146,10 Sep 2021 00:25:11.727,10 Sep 2021 00:27:00.434,108.707
147,10 Sep 2021 11:43:04.819,10 Sep 2021 11:50:06.202,421.383
148,10 Sep 2021 13:17:12.579,10 Sep 2021 13:22:05.067,292.488
149,10 Sep 2021 22:23:03.298,10 Sep 2021 22:29:54.601,411.303
150,10 Sep 2021 23:57:29.084,11 Sep 2021 00:02:35.343,306.260
151,11 Sep 2021 11:17:30.550,11 Sep 2021 11:23:47.575,377.025
152,11 Sep 2021 12:50:52.509,11 Sep 2021 12:57:04.801,372.292
153,11 Sep 2021 21:57:44.711,11 Sep 2021 22:03:46.509,361.798
154,11 Sep 2021 23:30:48.952,11 Sep 2021 23:37:15.970,387.018
155,12 Sep 2021 10:52:15.547,12 Sep 2021 10:57:01.722,286.175
156,12 Sep 2021 12:24:46.276,12 Sep 2021 12:31:43.078,416.801
157,12 Sep 2021 21:32:49.113,12 Sep 2021 21:37:23.050,273.937
158,12 Sep 2021 23:04:33.849,12 Sep 2021 23:11:39.489,425.639
159,13 Sep 2021 11:58:49.507,13 Sep 2021 12:06:04.303,434.796
160,13 Sep 2021 21:08:59.583,13 Sep 2021 21:10:01.202,61.619
161,13 Sep 2021 22:38:37.134,13 Sep 2021 22:45:52.341,435.208
162,14 Sep 2021 11:33:01.502,14 Sep 2021 11:40:09.158,427.656
163,14 Sep 2021 13:07:23.032,14 Sep 2021 13:11:45.788,262.755
164,14 Sep 2021 22:12:56.849,14 Sep 2021 22:19:56.380,419.531
165,14 Sep 2021 23:47:47.272,14 Sep 2021 23:52:21.123,273.851
166,15 Sep 2021 11:07:23.869,15 Sep 2021 11:13:55.929,392.060
167,15 Sep 2021 12:40:57.456,15 Sep 2021 12:46:53.015,355.560
168,15 Sep 2021 21:47:33.444,15 Sep 2021 21:53:51.125,377.681
169,15 Sep 2021 23:20:57.903,15 Sep 2021 23:27:08.882,370.980
