"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
131,1 Sep 2021 06:49:18.011,1 Sep 2021 06:55:49.780,391.769
132,1 Sep 2021 08:25:37.398,1 Sep 2021 08:31:40.878,363.480
133,2 Sep 2021 02:42:46.170,2 Sep 2021 02:46:41.281,235.111
134,2 Sep 2021 04:17:16.702,2 Sep 2021 04:23:40.132,383.430
135,2 Sep 2021 05:53:25.128,2 Sep 2021 05:59:56.695,391.568
136,2 Sep 2021 07:29:41.928,2 Sep 2021 07:36:10.457,388.528
137,2 Sep 2021 09:06:20.416,2 Sep 2021 09:11:15.117,294.701
138,3 Sep 2021 03:21:57.695,3 Sep 2021 03:27:39.997,342.301
139,3 Sep 2021 04:57:33.102,3 Sep 2021 05:04:04.439,391.337
140,3 Sep 2021 06:33:50.239,3 Sep 2021 06:40:22.002,391.763
141,3 Sep 2021 08:10:08.435,3 Sep 2021 08:16:18.120,369.686
142,4 Sep 2021 02:27:40.119,4 Sep 2021 02:31:00.116,199.997
143,4 Sep 2021 04:01:51.733,4 Sep 2021 04:08:12.037,380.304
144,4 Sep 2021 05:37:57.159,4 Sep 2021 05:44:28.780,391.620
145,4 Sep 2021 07:14:14.199,4 Sep 2021 07:20:43.951,389.752
146,4 Sep 2021 08:50:47.334,4 Sep 2021 08:55:59.198,311.865
147,5 Sep 2021 03:06:38.348,5 Sep 2021 03:12:09.195,330.847
148,5 Sep 2021 04:42:05.912,5 Sep 2021 04:48:36.762,390.849
149,5 Sep 2021 06:18:22.425,5 Sep 2021 06:24:54.137,391.712
150,5 Sep 2021 07:54:39.798,5 Sep 2021 08:00:54.615,374.817
151,5 Sep 2021 09:32:20.214,5 Sep 2021 09:34:29.577,129.362
152,6 Sep 2021 02:12:40.746,6 Sep 2021 02:15:12.798,152.052
153,6 Sep 2021 03:46:27.337,6 Sep 2021 03:52:43.747,376.410
154,6 Sep 2021 05:22:29.217,6 Sep 2021 05:29:00.903,391.686
155,6 Sep 2021 06:58:46.510,6 Sep 2021 07:05:17.126,390.615
156,6 Sep 2021 08:35:15.369,6 Sep 2021 08:40:41.663,326.294
157,7 Sep 2021 02:51:20.305,7 Sep 2021 02:56:37.570,317.265
158,7 Sep 2021 04:26:38.981,7 Sep 2021 04:33:09.076,390.095
159,7 Sep 2021 06:02:54.566,7 Sep 2021 06:09:26.210,391.643
160,7 Sep 2021 07:39:11.426,7 Sep 2021 07:45:30.442,379.016
161,7 Sep 2021 09:16:29.175,7 Sep 2021 09:19:34.117,184.942
162,8 Sep 2021 01:57:59.962,8 Sep 2021 01:59:07.434,67.472
163,8 Sep 2021 03:31:03.586,8 Sep 2021 03:37:15.212,371.626
164,8 Sep 2021 05:07:01.325,8 Sep 2021 05:13:33.075,391.750
165,8 Sep 2021 06:43:18.833,8 Sep 2021 06:49:50.024,391.191
166,8 Sep 2021 08:19:44.296,8 Sep 2021 08:25:22.759,338.463
167,9 Sep 2021 02:36:03.780,9 Sep 2021 02:41:04.917,301.137
168,9 Sep 2021 04:11:12.358,9 Sep 2021 04:17:41.366,389.008
169,9 Sep 2021 05:47:26.665,9 Sep 2021 05:53:58.248,391.583
170,9 Sep 2021 07:23:43.268,9 Sep 2021 07:30:05.671,382.403
171,9 Sep 2021 09:00:46.283,9 Sep 2021 09:04:29.977,223.694
172,10 Sep 2021 03:15:40.559,10 Sep 2021 03:21:46.370,365.811
173,10 Sep 2021 04:51:33.515,10 Sep 2021 04:58:05.289,391.774
