"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
104,28 Aug 2021 12:45:47.626,28 Aug 2021 12:54:24.886,517.261
105,28 Aug 2021 14:22:39.481,28 Aug 2021 14:28:30.388,350.907
106,28 Aug 2021 22:10:11.084,28 Aug 2021 22:15:06.145,295.061
107,28 Aug 2021 23:43:38.840,28 Aug 2021 23:52:19.592,520.752
108,29 Aug 2021 01:23:26.486,29 Aug 2021 01:25:44.997,138.511
109,29 Aug 2021 11:25:43.169,29 Aug 2021 11:29:45.338,242.169
110,29 Aug 2021 12:59:54.390,29 Aug 2021 13:08:34.528,520.139
111,29 Aug 2021 14:37:28.177,29 Aug 2021 14:41:30.005,241.829
112,29 Aug 2021 22:23:21.770,29 Aug 2021 22:29:46.033,384.263
113,29 Aug 2021 23:57:52.878,30 Aug 2021 00:06:24.211,511.333
114,30 Aug 2021 11:38:59.000,30 Aug 2021 11:45:09.849,370.849
115,30 Aug 2021 13:14:05.879,30 Aug 2021 13:22:34.163,508.284
116,30 Aug 2021 22:36:49.567,30 Aug 2021 22:44:14.125,444.559
117,31 Aug 2021 00:12:18.066,31 Aug 2021 00:20:23.056,484.989
118,31 Aug 2021 11:52:39.544,31 Aug 2021 12:00:03.807,444.263
119,31 Aug 2021 13:28:22.121,31 Aug 2021 13:36:23.783,481.662
120,31 Aug 2021 22:50:29.723,31 Aug 2021 22:58:35.147,485.424
121,1 Sep 2021 00:26:56.477,1 Sep 2021 00:34:14.151,437.674
122,1 Sep 2021 12:06:31.669,1 Sep 2021 12:14:40.564,488.895
123,1 Sep 2021 13:42:43.825,1 Sep 2021 13:50:02.667,438.843
124,1 Sep 2021 23:04:20.493,1 Sep 2021 23:12:50.833,510.340
125,2 Sep 2021 00:41:52.878,2 Sep 2021 00:47:52.899,360.020
126,2 Sep 2021 12:20:31.230,2 Sep 2021 12:29:04.419,513.189
127,2 Sep 2021 13:57:12.912,2 Sep 2021 14:03:28.870,375.958
128,2 Sep 2021 21:45:16.655,2 Sep 2021 21:49:33.957,257.301
129,2 Sep 2021 23:18:21.243,2 Sep 2021 23:27:01.801,520.558
130,3 Sep 2021 00:57:23.235,3 Sep 2021 01:01:03.552,220.317
131,3 Sep 2021 11:00:55.423,3 Sep 2021 11:03:48.605,173.182
132,3 Sep 2021 12:34:36.432,3 Sep 2021 12:43:17.283,520.851
133,3 Sep 2021 14:11:54.774,3 Sep 2021 14:16:36.982,282.209
134,3 Sep 2021 21:58:19.609,3 Sep 2021 22:04:19.912,360.303
135,3 Sep 2021 23:32:32.035,3 Sep 2021 23:41:08.006,515.971
136,4 Sep 2021 11:13:53.572,4 Sep 2021 11:19:32.671,339.099
137,4 Sep 2021 12:48:46.471,4 Sep 2021 12:57:20.016,513.545
138,4 Sep 2021 14:27:20.673,4 Sep 2021 14:28:55.718,95.044
139,4 Sep 2021 22:11:42.833,4 Sep 2021 22:18:50.921,428.088
140,4 Sep 2021 23:46:53.587,4 Sep 2021 23:55:08.800,495.212
141,5 Sep 2021 11:27:28.737,5 Sep 2021 11:34:33.805,425.068
142,5 Sep 2021 13:03:01.190,5 Sep 2021 13:11:12.798,491.608
143,5 Sep 2021 22:25:19.399,5 Sep 2021 22:33:13.887,474.488
